タレント名,知名度％,知名度,人気度％,人気度,ドラマ関心度（シリアス）％,ドラマ関心度（シリアス）,ドラマ関心度（コメディ）％,ドラマ関心度（コメディ）,バラエティ関心度％,バラエティ関心度,映画関心度（シリアス）％,映画関心度（シリアス）,映画関心度（コメディ）％,映画関心度（コメディ）,雑誌関心度％,雑誌関心度,CM総合,有効回答者数,有効回答者数（20代）,有効回答者数（30代）,有効回答者数（40代）,有効回答者数（50代）
福山雅治(ふくやままさはる)(俳優／歌手),79.27928,2.27027027,42.045452,2.522727273,31.818182,2.045454545,26.136362,1.920454545,29.545454,2.022727273,20.454546,1.613636364,14.772727,1.545454545,15.909091,1.522727273,17.045454,111,29,28,25,29
阿部サダヲ(あべさだを)(俳優),63.461536,1.961538462,56.060608,2.742424242,51.515152,2.439393939,57.575756,2.5,39.39394,2.212121212,24.242424,1.651515152,24.242424,1.651515152,7.575758,1.212121212,13.48485,104,25,24,27,28
大泉洋(おおいずみよう)(俳優)(TEAM NACS),78.21782,2.04950495,59.49367,2.746835443,37.97468,2,36.708862,1.974683544,46.83544,2.278481013,22.78481,1.53164557,17.72152,1.455696203,16.455696,1.341772152,20.126581,101,23,24,27,27
上戸彩(うえとあや)(俳優),68.181816,2.068181818,53.333336,2.666666667,36.666668,2.116666667,35,2.033333333,35,1.9,20,1.6,18.333334,1.55,20,1.666666667,22.999998,88,20,21,26,21
戸田恵梨香(とだえりか)(俳優),68.75,1.9375,57.575756,2.757575758,48.484848,2.363636364,42.424244,2.212121212,36.363636,2.015151515,18.181818,1.681818182,10.606061,1.515151515,16.666668,1.484848485,19.848484,96,19,24,22,31
スピッツ(アーティスト),62.5,1.930555556,71.111115,3.133333333,22.222223,1.555555556,20,1.488888889,33.333336,1.977777778,20,1.422222222,13.333334,1.288888889,15.555556,1.6,15.333334,72,13,16,20,23
神木隆之介(かみきりゅうのすけ)(俳優),72.22222,2.022222222,56.92308,2.753846154,33.846153,1.984615385,35.384617,1.969230769,30.769232,1.984615385,24.615385,1.569230769,21.538462,1.538461538,16.923077,1.461538462,18.000002,90,17,23,26,24
竹野内豊(たけのうちゆたか)(俳優),60.240967,1.879518072,62,2.82,40,2.18,36,2,36,1.94,30.000002,1.68,18,1.52,30.000002,1.7,28.4,83,19,19,19,26
役所広司(やくしょこうじ)(俳優),56.09756,1.817073171,58.69565,2.782608696,50,2.391304348,43.47826,2.282608696,36.95652,2.043478261,26.086956,1.826086957,10.869565,1.608695652,13.043478,1.565217391,14.565216,82,16,17,27,22
反町隆史(そりまちたかし)(俳優),69.60784,2.088235294,49.295773,2.61971831,30.985916,2.112676056,26.760563,1.887323944,26.760563,1.85915493,15.492958,1.647887324,14.084508,1.549295775,21.12676,1.61971831,20.140846,102,24,23,25,29
イチロー(元野球選手),90.52632,2.378947368,53.488373,2.755813953,17.44186,1.558139535,15.116279,1.430232558,31.39535,1.825581395,12.790698,1.26744186,10.4651165,1.162790698,13.953489,1.337209302,17.093023,95,22,24,25,24
佐藤健(さとうたける)(俳優),59.25926,1.824074074,56.25,2.75,42.1875,2.171875,37.5,2.125,37.5,2.109375,28.125,1.8125,21.875,1.734375,23.4375,1.640625,18.75,108,28,25,28,26
浜田雅功(はまだまさとし)(芸人)(ダウンタウン),90.909096,2.505050505,42.22222,2.455555556,20,1.588888889,22.222223,1.644444444,40,2.122222222,8.888889,1.288888889,8.888889,1.255555556,5.555556,1.222222222,8.222223,99,21,26,24,27
仲間由紀恵(なかまゆきえ)(俳優),78.02198,2.153846154,49.295773,2.563380282,30.985916,2.042253521,33.802814,2.028169014,22.535212,1.788732394,16.901407,1.661971831,15.492958,1.61971831,11.267606,1.478873239,20.000002,91,21,23,23,24
松山ケンイチ(まつやまけんいち)(俳優),56.41026,1.807692308,63.636364,2.818181818,52.272724,2.409090909,36.363636,2.113636364,31.818182,1.886363636,34.090908,1.931818182,18.181818,1.681818182,11.363637,1.568181818,18.863636,78,15,17,21,25
サザンオールスターズ(アーティスト),70.93023,2.104651163,47.540985,2.606557377,21.311476,1.852459016,21.311476,1.754098361,40.983604,2.147540984,13.114754,1.557377049,13.114754,1.540983607,9.836065,1.475409836,16.557377,86,16,21,27,22
菅野美穂(かんのみほ)(俳優),76.190475,2.130952381,54.6875,2.703125,34.375,2.125,31.25,1.984375,31.25,1.828125,15.625,1.40625,10.9375,1.34375,14.0625,1.3125,11.875,84,18,21,21,24
いとうあさこ(芸人),75.60976,2.109756098,62.903225,2.838709677,24.193548,1.516129032,29.032257,1.64516129,51.6129,2.35483871,6.4516125,1.177419355,12.903225,1.225806452,4.8387094,1.129032258,14.677419,82,18,18,23,23
ウッチャンナンチャン(芸人),90,2.4375,51.38889,2.638888889,19.444445,1.472222222,23.61111,1.569444444,41.666664,2.027777778,8.333334,1.152777778,5.555556,1.138888889,8.333334,1.111111111,11.388889,80,14,20,24,22
中居正広(なかいまさひろ)(俳優/アーティスト)(元SMAP),88.54167,2.447916667,41.17647,2.411764706,21.176472,1.741176471,21.176472,1.717647059,41.17647,2.082352941,10.588236,1.258823529,10.588236,1.270588235,9.411765,1.247058824,8.705882,96,20,23,26,27
松平健(まつだいらけん)(俳優/歌手),74.1573,2.157303371,56.060608,2.696969697,30.303032,1.954545455,25.757576,1.863636364,25.757576,1.848484848,12.121212,1.333333333,13.636364,1.393939394,15.151516,1.287878788,11.212122,89,18,21,24,26
山下智久(やましたともひさ)(俳優/アーティスト)(元NEWS),60.82474,1.979381443,47.457626,2.576271186,37.288136,2.084745763,37.288136,2.06779661,37.288136,2.016949153,27.118645,1.661016949,20.338982,1.559322034,22.0339,1.576271186,18.135593,97,19,25,26,27
竹内涼真(たけうちりょうま)(俳優),57.303368,1.752808989,50.980396,2.607843137,41.17647,2.274509804,35.294117,2.156862745,41.17647,2.254901961,19.607843,1.823529412,17.647058,1.725490196,23.529411,1.862745098,20.784317,89,19,21,26,23
舘ひろし(たちひろし)(俳優),72.5,2.0375,50,2.620689655,31.034481,2.034482759,31.034481,2.034482759,32.75862,1.965517241,17.241379,1.431034483,12.068965,1.413793103,17.241379,1.517241379,12.413792,80,10,21,24,25
二宮和也(にのみやかずなり)(俳優/アーティスト)(元ARASHI),81.914894,2.319148936,42.857143,2.480519481,35.064934,1.935064935,29.870129,1.818181818,35.064934,1.961038961,19.480518,1.415584416,11.688312,1.25974026,12.987013,1.246753247,14.935064,94,22,23,23,26
内村光良(うちむらてるよし)(芸人/俳優)(ウッチャンナンチャン),63.44086,1.956989247,64.406784,2.813559322,20.338982,1.644067797,27.118645,1.813559322,50.847458,2.389830508,6.779661,1.305084746,8.474577,1.288135593,10.169491,1.288135593,11.525424,93,20,24,27,22
菅田将暉(すだまさき)(俳優),69.411766,2.035294118,49.152542,2.559322034,42.372883,2.033898305,37.288136,1.949152542,32.203392,1.86440678,27.118645,1.610169492,22.0339,1.525423729,23.728813,1.661016949,17.457628,85,18,19,25,23
堺雅人(さかいまさと)(俳優),60.576923,1.894230769,53.968258,2.666666667,49.20635,2.412698413,39.68254,2.222222222,30.158731,1.968253968,19.047619,1.619047619,20.63492,1.603174603,9.523809,1.365079365,14.444446,104,25,26,23,30
B'z(びーず)(アーティスト),60.000004,1.9,55,2.816666667,30.000002,1.766666667,21.666666,1.683333333,35,2.05,18.333334,1.516666667,13.333334,1.366666667,26.666668,1.633333333,22.166668,100,21,23,24,31
西島秀俊(にしじまひでとし)(俳優),51.19048,1.642857143,69.76744,2.953488372,51.162792,2.511627907,41.860466,2.372093023,39.534885,2.023255814,30.232557,1.790697674,23.255816,1.720930233,13.953489,1.325581395,14.651163,84,17,23,21,22
松たか子(まつたかこ)(俳優),63.095238,1.928571429,54.71698,2.641509434,43.396225,2.150943396,41.509434,2.056603774,37.73585,1.943396226,20.754717,1.622641509,15.094339,1.566037736,16.981133,1.528301887,16.603773,84,13,22,26,23
大島優子(おおしまゆうこ)(俳優)(元AKB48),50.5618,1.730337079,55.555557,2.688888889,33.333336,2.088888889,33.333336,2.066666667,35.555557,2.222222222,17.777779,1.688888889,17.777779,1.644444444,24.444445,1.866666667,18.88889,89,19,21,26,23
伊達みきお(だてみきお)(芸人)(サンドウィッチマン),67.59259,1.953703704,69.863014,3.04109589,19.178082,1.424657534,23.287672,1.602739726,54.79452,2.383561644,9.589041,1.123287671,12.328767,1.219178082,6.849315,1.04109589,14.383562,108,24,20,37,26
芦田愛菜(あしだまな)(俳優),74.46808,2.117021277,52.857143,2.685714286,20,1.685714286,20,1.671428571,40,2.014285714,8.571429,1.414285714,8.571429,1.271428571,7.1428576,1.3,15.285716,94,22,27,21,24
木梨憲武(きなしのりたけ)(芸人)(とんねるず),78.64078,2.233009709,39.506172,2.358024691,23.456789,1.703703704,30.864197,1.901234568,38.271606,2.172839506,12.345679,1.432098765,17.28395,1.530864198,12.345679,1.37037037,13.209877,103,22,25,24,31
香取慎吾(かとりしんご)(俳優/アーティスト)(元SMAP),81.730774,2.269230769,42.352943,2.482352941,25.882355,1.741176471,25.882355,1.741176471,38.82353,2,12.941177,1.317647059,14.117648,1.282352941,10.588236,1.317647059,15.294119,104,23,25,27,29
広瀬アリス(ひろせありす)(俳優),57.40741,1.787037037,62.903225,2.903225806,30.645163,1.935483871,41.935482,2.064516129,40.322582,2.032258065,17.741936,1.338709677,20.967741,1.35483871,16.129032,1.483870968,22.741936,108,24,20,37,26
松嶋菜々子(まつしまななこ)(俳優),65.97938,1.93814433,53.125,2.640625,35.9375,2.109375,31.25,2.03125,28.125,1.953125,12.5,1.515625,4.6875,1.40625,10.9375,1.46875,15.15625,97,21,24,28,24
高橋一生(たかはしいっせい)(俳優),59.523808,1.880952381,56,2.76,40,2.24,40,2.2,26,1.84,24,1.54,16,1.5,10,1.26,10.6,84,15,22,21,26
バナナマン(芸人コンビ),67.77778,1.988888889,57.377045,2.770491803,24.590164,1.704918033,24.590164,1.737704918,49.18033,2.37704918,8.196721,1.196721311,4.9180326,1.163934426,9.836065,1.163934426,16.393442,90,21,22,24,23
二階堂ふみ(にかいどうふみ)(俳優),41.666664,1.527777778,68.88889,2.933333333,53.333336,2.488888889,42.22222,2.377777778,40,2.222222222,17.777779,1.733333333,15.555556,1.6,11.111112,1.577777778,19.333336,108,28,25,28,26
目黒蓮(めぐろれん)(俳優/アーティスト)(Snow Man),43.055553,1.458333333,54.83871,2.709677419,48.387096,2.483870968,41.935482,2.419354839,48.387096,2.483870968,29.032257,1.870967742,29.032257,1.838709677,35.48387,2.161290323,26.129034,72,13,16,20,23
所ジョージ(ところじょーじ)(歌手/タレント),81.72043,2.23655914,48.684208,2.526315789,17.105263,1.5,17.105263,1.513157895,39.473686,2.118421053,9.210526,1.263157895,6.5789475,1.25,10.526316,1.368421053,15.921054,93,20,24,27,22
くりぃむしちゅー(芸人コンビ),64.07767,2.009708738,59.090908,2.772727273,18.181818,1.545454545,18.181818,1.560606061,54.545456,2.46969697,12.121212,1.257575758,7.575758,1.212121212,6.060606,1.075757576,10.606062,103,25,24,26,28
明石家さんま(あかしやさんま)(芸人),91.75258,2.484536082,41.573032,2.404494382,22.47191,1.629213483,26.966291,1.662921348,37.07865,2,10.112359,1.179775281,6.741573,1.179775281,8.988764,1.078651685,10.674157,97,22,20,30,25
堤真一(つつみしんいち)(俳優),46.341465,1.62195122,60.526318,2.868421053,52.63158,2.315789474,47.368423,2.210526316,39.473686,2.026315789,23.684212,1.789473684,21.052631,1.789473684,10.526316,1.5,12.105264,82,17,22,22,21
北野武(きたのたけし)(芸人/映画監督)(ビートたけし),89.24731,2.408602151,34.93976,2.34939759,24.096386,1.807228916,20.481928,1.746987952,27.710842,1.939759036,14.45783,1.445783133,8.433735,1.385542169,4.819277,1.084337349,8.915663,93,18,25,26,24
広瀬すず(ひろせすず)(俳優),68.04124,2.092783505,56.060608,2.560606061,33.333336,1.757575758,25.757576,1.681818182,37.878788,1.96969697,15.151516,1.363636364,13.636364,1.318181818,21.212122,1.53030303,19.848486,97,24,24,26,23
堂本剛(どうもとつよし)(俳優/アーティスト)(KinKi Kids),66.27907,2.046511628,42.105263,2.50877193,31.578945,1.859649123,29.82456,1.824561404,43.85965,2.087719298,19.298244,1.438596491,15.789473,1.438596491,14.035088,1.473684211,15.438596,86,16,21,27,22
深田恭子(ふかだきょうこ)(俳優),65.74074,1.907407407,59.154926,2.690140845,32.394367,1.957746479,30.985916,1.985915493,30.985916,1.915492958,16.901407,1.507042254,9.859155,1.352112676,16.901407,1.521126761,16.05634,108,28,25,26,29
松雪泰子(まつゆきやすこ)(俳優),47.61905,1.619047619,62.5,2.875,47.5,2.25,40,2.1,25,1.875,22.5,1.675,12.5,1.575,22.5,1.825,20,84,15,22,21,26
有村架純(ありむらかすみ)(俳優),51.06383,1.776595745,60.416668,2.8125,37.5,2.0625,41.666664,2.104166667,33.333336,1.833333333,27.083334,1.708333333,18.75,1.541666667,14.583333,1.4375,20.208332,94,22,27,21,24
出川哲朗(でがわてつろう)(芸人),82.97873,2.255319149,50,2.525641026,21.794872,1.564102564,28.20513,1.692307692,47.435898,2.256410256,10.256411,1.217948718,12.820514,1.282051282,7.692308,0.987179487,13.717947,94,22,19,27,25
藤原竜也(ふじわらたつや)(俳優),64.912285,1.973684211,44.594593,2.567567568,45.945946,2.243243243,33.783783,2.013513514,28.37838,1.864864865,22.972973,1.702702703,16.216215,1.486486486,12.162163,1.27027027,12.972972,114,22,24,41,26
松坂桃李(まつざかとおり)(俳優),53.571426,1.726190476,57.77778,2.711111111,33.333336,2.066666667,31.111113,2.066666667,33.333336,2.177777778,15.555556,1.6,11.111112,1.533333333,11.111112,1.6,14,84,18,21,22,23
水谷豊(みずたにゆたか)(俳優),75,2.1,45.333336,2.533333333,30.666668,2.08,21.333334,1.88,29.333332,1.893333333,16,1.493333333,9.333333,1.346666667,8,1.213333333,10,100,19,22,28,31
ムロツヨシ(俳優),70.96774,1.989247312,54.545456,2.621212121,33.333336,1.96969697,40.909092,2.121212121,40.909092,2.136363636,13.636364,1.303030303,15.151516,1.363636364,7.575758,1.090909091,10.606062,93,21,18,25,29
小峠英二(ことうげえいじ)(芸人)(バイきんぐ),59.55056,1.719101124,62.26415,2.905660377,18.867926,1.735849057,22.64151,1.811320755,50.943398,2.452830189,13.207547,1.339622642,11.320755,1.301886792,13.207547,1.283018868,15.09434,89,18,21,24,26
米倉涼子(よねくらりょうこ)(俳優),80.85107,2.191489362,36.842106,2.394736842,26.31579,1.947368421,17.105263,1.776315789,23.684212,1.842105263,11.842106,1.381578947,7.8947363,1.276315789,14.473684,1.447368421,11.31579,94,18,24,28,24
ダルビッシュ有(だるびっしゅゆう)(メジャーリーガー),75.789474,2.094736842,54.166668,2.75,19.444445,1.486111111,18.055555,1.416666667,30.555555,1.888888889,8.333334,1.152777778,11.111112,1.222222222,13.888889,1.375,17.083334,95,19,25,26,24
篠原涼子(しのはらりょうこ)(俳優),59.090908,1.897727273,55.76923,2.576923077,38.46154,2.153846154,30.769232,2.019230769,32.692307,1.923076923,15.384616,1.442307692,7.692308,1.326923077,17.307693,1.519230769,12.884616,88,20,21,26,21
深津絵里(ふかつえり)(俳優),50.63291,1.632911392,52.499996,2.775,42.5,2.25,37.5,2.15,37.5,2.025,20,1.625,20,1.6,22.5,1.6,22.25,79,15,18,25,21
草彅剛(くさなぎつよし)(俳優/アーティスト)(元SMAP),82.608696,2.239130435,34.210526,2.355263158,26.31579,1.789473684,26.31579,1.763157895,28.947369,1.855263158,21.052631,1.5,15.789473,1.381578947,13.157895,1.302631579,14.736842,92,23,22,23,24
ローラ(モデル),64.893616,1.882978723,44.262295,2.524590164,18.032785,1.737704918,13.114754,1.704918033,36.06557,2.147540984,6.557377,1.360655738,8.196721,1.327868852,29.508198,1.852459016,19.180328,94,20,23,22,28
富澤たけし(とみざわたけし)(芸人)(サンドウィッチマン),51.724136,1.620689655,68.88889,2.955555556,28.88889,1.844444444,33.333336,1.888888889,57.77778,2.577777778,11.111112,1.333333333,11.111112,1.377777778,6.666667,1.2,17.11111,87,16,22,24,25
城島茂(じょうしましげる)(アーティスト)(TOKIO),66.990295,1.980582524,44.927536,2.565217391,15.94203,1.652173913,20.289854,1.695652174,37.68116,2.130434783,13.043478,1.463768116,13.043478,1.434782609,7.2463765,1.333333333,12.028986,103,22,25,24,31
柳葉敏郎(やなぎばとしろう)(俳優),64.51613,1.946236559,43.333332,2.483333333,26.666668,2.05,26.666668,2.016666667,28.333334,1.966666667,10,1.55,10,1.55,10,1.366666667,11,93,17,23,23,30
真田広之(さなだひろゆき)(俳優),41.747574,1.398058252,60.465115,2.860465116,53.488373,2.581395349,34.88372,2.279069767,34.88372,2.209302326,32.55814,2.093023256,16.27907,1.744186047,23.255816,1.790697674,17.906979,103,22,25,24,31
KinKi Kids(きんききっず)(アーティスト),66.66667,2.049019608,41.17647,2.514705882,23.529411,1.75,23.529411,1.720588235,38.235294,2.058823529,8.823529,1.25,11.764706,1.308823529,14.705883,1.397058824,11.764707,102,23,25,25,27
吉沢亮(よしざわりょう)(俳優),43.67816,1.356321839,63.15789,2.894736842,50,2.421052632,47.368423,2.394736842,36.842106,2.184210526,28.947369,1.973684211,23.684212,1.868421053,26.31579,1.894736842,25,87,19,19,24,25
織田裕二(おだゆうじ)(俳優),72.289154,2.084337349,33.333336,2.383333333,36.666668,2.05,26.666668,1.883333333,23.333334,1.75,13.333334,1.516666667,10,1.45,10,1.416666667,14.5,83,16,21,24,22
間宮祥太朗(まみやしょうたろう)(俳優),32.692307,1.173076923,70.588234,3.029411765,55.88235,2.676470588,52.941177,2.705882353,50,2.617647059,26.470589,2.029411765,23.529411,2.029411765,17.647058,1.882352941,17.058826,104,25,24,27,28
博多華丸・大吉(はかたはなまるだいきち)(芸人コンビ),60.975613,1.841463415,58,2.78,24,1.62,16,1.48,40,2.3,8,1.22,10,1.24,8,1.32,17,82,18,21,22,21
黒柳徹子(くろやなぎてつこ)(俳優/司会者),89.79591,2.489795918,30.681818,2.284090909,12.5,1.488636364,12.5,1.534090909,30.681818,1.852272727,5.6818185,1.181818182,6.818182,1.170454545,11.363637,1.215909091,11.477274,98,21,23,25,28
川島明(かわしまあきら)(芸人)(麒麟),61.25,1.8125,59.183674,2.816326531,22.448978,1.673469388,20.408163,1.714285714,51.02041,2.204081633,12.244898,1.244897959,8.163265,1.204081633,8.163265,1.285714286,12.040816,80,10,21,24,25
竹中直人(たけなかなおと)(俳優),64.44444,1.922222222,53.448277,2.655172414,37.931034,1.982758621,36.206894,1.931034483,31.034481,1.775862069,24.13793,1.551724138,20.689655,1.551724138,6.8965516,1.120689655,7.068965,90,17,23,26,24
劇団ひとり(げきだんひとり)(芸人),83,2.17,40.963856,2.445783133,16.86747,1.722891566,21.686749,1.771084337,37.349396,2.108433735,6.0240965,1.265060241,6.0240965,1.253012048,1.2048192,1.036144578,8.19277,100,22,25,22,30
鈴木亮平(すずきりょうへい)(俳優),46.534653,1.524752475,68.085106,2.914893617,38.297874,2.276595745,36.17021,2.319148936,31.914892,1.978723404,25.531916,1.723404255,17.021276,1.531914894,14.893617,1.404255319,19.361702,101,23,24,25,29
柴咲コウ(しばさきこう)(俳優),46.31579,1.663157895,52.272724,2.681818182,38.636364,2.25,29.545454,2.068181818,15.909091,1.931818182,6.818182,1.590909091,6.818182,1.477272727,18.181818,1.636363636,17.5,95,22,23,25,25
Hey! Say! JUMP(へいせいじゃんぷ)(アーティスト),31.52174,1.347826087,65.51724,2.862068966,34.482758,2.206896552,37.931034,2.206896552,58.62069,2.620689655,20.689655,1.827586207,17.241379,1.827586207,13.793103,1.724137931,20,92,19,24,26,23
永作博美(ながさくひろみ)(俳優),38,1.3,65.789474,2.921052632,47.368423,2.473684211,42.105263,2.342105263,47.368423,2.342105263,28.947369,2.026315789,23.684212,1.947368421,18.421053,1.736842105,24.999998,100,21,22,28,29
浜辺美波(はまべみなみ)(俳優),40,1.376470588,64.70589,2.852941176,41.17647,2.264705882,35.294117,2.147058824,44.11765,2.294117647,20.588236,1.823529412,20.588236,1.705882353,23.529411,1.911764706,25.588238,85,17,22,23,23
小池栄子(こいけえいこ)(俳優),55.43478,1.695652174,60.784317,2.725490196,31.372551,2.078431373,35.294117,2.019607843,39.215687,2.098039216,9.803922,1.431372549,9.803922,1.352941176,9.803922,1.37254902,17.254904,92,23,22,23,24
佐々木希(ささきのぞみ)(俳優/モデル),64.28571,1.928571429,50,2.648148148,18.518518,1.574074074,20.37037,1.62962963,24.074074,1.777777778,12.962963,1.296296296,11.111112,1.296296296,20.37037,1.555555556,19.444445,84,18,21,22,23
本田翼(ほんだつばさ)(俳優/モデル),49.019608,1.647058824,50,2.64,36,1.94,38,2.02,36,1.94,22,1.52,18,1.48,26,1.88,26.8,102,24,23,25,29
内田有紀(うちだゆき)(俳優),60.714287,1.75,50.980396,2.705882353,29.411766,1.980392157,25.490198,1.843137255,25.490198,1.843137255,15.6862755,1.392156863,11.764706,1.352941176,13.725491,1.549019608,18.039217,84,15,22,21,26
Snow Man(すのーまん)(アーティスト),22.222223,1.222222222,56.25,2.8125,50,2.5,43.75,2.4375,56.25,2.75,31.25,1.9375,31.25,1.75,37.5,2.125,25.625,72,13,16,20,23
原田泰造(はらだたいぞう)(芸人)(ネプチューン),66.66667,1.895833333,42.1875,2.484375,21.875,1.796875,23.4375,1.796875,32.8125,2.046875,9.375,1.484375,9.375,1.453125,6.25,1.390625,10.46875,96,20,24,24,28
中村倫也(なかむらともや)(俳優),34.523808,1.273809524,62.068962,2.931034483,51.724136,2.551724138,55.172413,2.551724138,48.27586,2.448275862,17.241379,1.620689655,20.689655,1.724137931,27.586206,1.75862069,21.034483,84,15,22,23,24
菜々緒(ななお)(俳優),60.493828,1.728395062,51.02041,2.612244898,32.65306,2.020408163,28.57143,1.959183673,40.816326,2.081632653,10.204082,1.326530612,8.163265,1.244897959,10.204082,1.612244898,18.775509,81,16,18,21,25
笑福亭鶴瓶(しょうふくていつるべ)(芸人/落語家),81,2.19,38.271606,2.358024691,24.691359,1.777777778,20.987654,1.654320988,32.098763,1.962962963,14.814815,1.283950617,12.345679,1.259259259,12.345679,1.135802469,11.111111,100,21,22,28,29
日村勇紀(ひむらゆうき)(芸人)(バナナマン),72.81553,2.019417476,56,2.64,18.666666,1.52,24,1.64,42.666668,2.106666667,8,1.12,8,1.146666667,8,1.066666667,12.666667,103,23,25,24,30
岡田准一(おかだじゅんいち)(俳優/アーティスト)(元V6),61.11111,1.9,47.272728,2.527272727,30.909092,2,25.454544,1.909090909,27.272728,1.8,10.909091,1.472727273,7.272727,1.4,10.909091,1.327272727,14.363637,90,19,24,24,22
